character,degree_full,weighted_degree_full,betweenness_full,closeness_full,pagerank_full,eigenvector_full,degree_no_central,weighted_degree_no_central,betweenness_no_central,closeness_no_central,pagerank_no_central,eigenvector_no_central,degree_rank_full,degree_rank_no_central,degree_rank_change,betweenness_rank_full,betweenness_rank_no_central,betweenness_rank_change,pagerank_rank_full,pagerank_rank_no_central,pagerank_rank_change,eigenvector_rank_full,eigenvector_rank_no_central,eigenvector_rank_change
Benedict Arnold,0.009708737864077669,0.017543859649122806,0.0,0.16818469956294,0.005547243031862717,0.0006177890019151663,0.00980392156862745,0.022222222222222223,0.0,0.0130718954248366,0.010628372271175758,6.768914566944282e-16,53.0,51.0,2.0,44.0,40.0,4.0,52.0,30.0,22.0,68.0,64.0,4.0
Benevenstanciano,0.009708737864077669,0.017543859649122806,0.0,0.1631391585760518,0.003978331227645145,0.0015252480999179245,0.00980392156862745,0.022222222222222223,0.0,0.14592156862745098,0.004426049894127881,0.0020565646723934047,53.0,51.0,2.0,44.0,40.0,4.0,62.0,62.0,0.0,62.0,48.0,14.0
Benito Mussolini,0.009708737864077669,0.017543859649122806,0.0,0.16478702886469876,0.004310619034508409,0.0005715406894187417,0.00980392156862745,0.022222222222222223,0.0,0.14709835547122074,0.004863255770647261,0.00042395038293972895,53.0,51.0,2.0,44.0,40.0,4.0,61.0,60.0,1.0,70.0,53.0,17.0
Benjamin,0.058252427184466014,0.10526315789473684,0.026934183009282953,0.2734175842056734,0.0110640265552232,0.035376974535074435,0.049019607843137254,0.1111111111111111,0.01120170840613473,0.1982630008525149,0.011587221161762883,0.013969759547740383,13.0,13.0,0.0,11.0,22.0,-11.0,23.0,26.0,-3.0,27.0,31.0,-4.0
Bernard,0.029126213592233007,0.05263157894736842,0.026023564765712104,0.2659877585479105,0.005852243270894252,0.050870069060301226,0.0196078431372549,0.044444444444444446,0.000615460705734439,0.18707893413775767,0.005045551891952477,0.04203688638888684,29.0,37.0,-8.0,13.0,34.0,-21.0,50.0,59.0,-9.0,19.0,19.0,0.0
Bernie Sanders,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Betty Cooper,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Betty Ford,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Big Bird,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Bigfoot,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Bildorf,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Bill,0.009708737864077669,0.017543859649122806,0.0,0.21751887810140236,0.003396645062587185,0.015092433086539783,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,53.0,68.0,-15.0,44.0,40.0,4.0,65.0,68.0,-3.0,44.0,68.0,-24.0
Bill Cipher,0.029126213592233007,0.05263157894736842,0.01767062812179888,0.22553800724799788,0.008931276876630707,0.015181456548094404,0.0196078431372549,0.044444444444444446,0.0,0.12079600051941307,0.009628312960498962,7.575417066720969e-05,29.0,37.0,-8.0,17.0,40.0,-23.0,32.0,36.0,-4.0,42.0,59.0,-17.0
Bill Pye,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Billy,0.04854368932038834,0.12280701754385964,0.02849528160778875,0.2091527674051946,0.01567914448221419,0.05346317453819353,0.0392156862745098,0.08888888888888889,0.0341681226946224,0.16581996434937613,0.017587945053290477,0.004667691309266291,15.0,19.0,-4.0,10.0,11.0,-1.0,11.0,12.0,-1.0,18.0,42.0,-24.0
Billy Crystal,0.0,0.0,0.0,0.0,0.0019108280254824593,7.309515091029326e-24,0.0,0.0,0.0,0.0,0.0020718232044198894,1.4376496429606066e-21,75.0,68.0,7.0,44.0,40.0,4.0,75.0,68.0,7.0,75.0,68.0,7.0
Billy Eichner,0.009708737864077669,0.017543859649122806,0.0,0.1997622349910838,0.0033576532748207577,0.008549532026998286,0.00980392156862745,0.022222222222222223,0.0,0.1712694467458345,0.003895045236273001,0.005501660990052029,53.0,51.0,2.0,44.0,40.0,4.0,72.0,66.0,6.0,54.0,40.0,14.0
Birch Barlow,0.038834951456310676,0.07017543859649122,0.0041361680496460615,0.22145587137020606,0.008873111936406214,0.009308897581550563,0.0392156862745098,0.08888888888888889,0.007541069232973719,0.18149448834260073,0.011831304631642201,0.005215826095259281,24.0,19.0,5.0,35.0,27.0,8.0,33.0,24.0,9.0,53.0,41.0,12.0
Bob Arnold,0.029126213592233007,0.07017543859649122,0.0,0.20738028632548955,0.008543932639898288,0.032369820715686975,0.0196078431372549,0.044444444444444446,0.0,0.16657713313635955,0.00695425513358705,0.001595251188721756,29.0,37.0,-8.0,44.0,40.0,4.0,35.0,48.0,-13.0,29.0,49.0,-20.0
Bob Belcher,0.038834951456310676,0.07017543859649122,0.05409607208579225,0.23643356315369826,0.011912834561030575,0.019311480439887663,0.029411764705882353,0.06666666666666667,0.0442632498543972,0.15861040068201193,0.012374214221002868,0.006634196584842166,24.0,26.0,-2.0,5.0,7.0,-2.0,21.0,22.0,-1.0,36.0,38.0,-2.0
